family,code,name,name_pt_br,source_token,raw_field,sets_observados,rows_a,scope,origem,status
CAMPAIGN,CAMPAIGN_THANK_YOU,Thank You,Agradecimento,THANK-YOU,stamp,SWSH3,3,GLOBAL,A,APPROVED
CAMPAIGN,CAMPAIGN_TRICK_OR_TRADE,Trick or Trade,Trick or Trade,TRICK-OR-TRADE,stamp,"SV2,SV3",6,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_ASIA_2023_24,Asia 2023–24,Ásia 2023–24,ASIA-2023-24,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CHANNEL,CHANNEL_ASIA_PROMO,Asia Promo,Promo Ásia,ASIA-PROMO,stamp,"SV2,SV3",2,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_EB_GAMES,EB Games,EB Games,EB-GAMES,stamp,SV3,1,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_FRUIT_ROLLS,Fruit Rolls Promo,Promo Fruit Rolls,GOLD-BORDER,subtype,BASE2,1,SOURCE_SET_SCOPED,A,APPROVED
CHANNEL,CHANNEL_GAMESTOP,GameStop,GameStop,GAMESTOP,stamp,SV4,1,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_INQUEST_GAMER,InQuest Gamer,InQuest Gamer,INQUEST-GAMER,stamp,EX3,1,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_KRAZE_CLUB,Kraze Club,Kraze Club,KRAZE-CLUB,stamp,EX12,1,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_MCDONALDS,McDonald's,McDonald's,MCDONALDS,stamp,"2012BW,2014XY",24,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_MFB_DECK_BULBASAUR,My First Battle — Bulbasaur Deck,My First Battle — Deck Bulbasaur,BULBASAUR,stamp,MFB,12,SOURCE_SET_SCOPED,A,APPROVED
CHANNEL,CHANNEL_MFB_DECK_CHARMANDER,My First Battle — Charmander Deck,My First Battle — Deck Charmander,CHARMANDER,stamp,MFB,12,SOURCE_SET_SCOPED,A,APPROVED
CHANNEL,CHANNEL_MFB_DECK_PIKACHU,My First Battle — Pikachu Deck,My First Battle — Deck Pikachu,PIKACHU,stamp,MFB,12,SOURCE_SET_SCOPED,A,APPROVED
CHANNEL,CHANNEL_MFB_DECK_SQUIRTLE,My First Battle — Squirtle Deck,My First Battle — Deck Squirtle,SQUIRTLE,stamp,MFB,12,SOURCE_SET_SCOPED,A,APPROVED
CHANNEL,CHANNEL_POKEMON_CENTER,Pokémon Center,Pokémon Center,POKEMON-CENTER,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CHANNEL,CHANNEL_POKEMON_CENTER_NY,Pokémon Center New York,Pokémon Center Nova York,POKEMON-CENTER-NY,stamp,(somente legado B),0,GLOBAL,B,APPROVED
CHANNEL,CHANNEL_SCRYE,Scrye Magazine,Revista Scrye,SCRYE,stamp,EX3,1,GLOBAL,A,APPROVED
CHANNEL,CHANNEL_WOTC_PROMO,Wizards of the Coast Promo,Promo Wizards of the Coast,W-PROMO,stamp,BASE5,1,GLOBAL,A+B,APPROVED
CHANNEL,CHANNEL_WOTC_PROMO,Wizards of the Coast Promo,Promo Wizards of the Coast,WOTC,stamp,(somente legado B),0,GLOBAL,A+B,APPROVED
DECK_PLAYER,DECK_PLAYER_AKIRA_MIYAZAKI,Akira Miyazaki,Akira Miyazaki,AKIRA-MIYAZAKI,stamp,7 Sets,17,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_CHASE_MOLONEY,Chase Moloney,Chase Moloney,CHASE-MOLONEY,stamp,2 Sets,3,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_CHRISTOPHER_KAN,Christopher Kan,Christopher Kan,CHRISTOPHER-KAN,stamp,4 Sets,11,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_CHRIS_FULOP,Chris Fulop,Chris Fulop,CHRIS-FULOP,stamp,8 Sets,27,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_CURRAN_HILL,Curran Hill,Curran Hill,CURRAN-HILL,stamp,7 Sets,15,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_DAVID_COHEN,David Cohen,David Cohen,DAVID-COHEN,stamp,12 Sets,38,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_DYLAN_LEFAVOUR,Dylan Lefavour,Dylan Lefavour,DYLAN-LEFAVOUR,stamp,9 Sets,27,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_GABRIEL_FERNANDEZ,Gabriel Fernandez,Gabriel Fernandez,GABRIEL-FERNANDEZ,stamp,1 Sets,1,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_GUSTAVO_WADA,Gustavo Wada,Gustavo Wada,GUSTAVO-WADA,stamp,3 Sets,16,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_HIROKI_YANO,Hiroki Yano,Hiroki Yano,HIROKI-YANO,stamp,8 Sets,21,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_IGOR_COSTA,Igor Costa,Igor Costa,IGOR-COSTA,stamp,4 Sets,6,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JASON_KLACZYNSKI,Jason Klaczynski,Jason Klaczynski,JASON-KLACZYNSKI,stamp,16 Sets,43,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JASON_MARTINEZ,Jason Martinez,Jason Martinez,JASON-MARTINEZ,stamp,7 Sets,22,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JEREMY_MARON,Jeremy Maron,Jeremy Maron,JEREMY-MARON,stamp,5 Sets,17,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JEREMY_SCHARFF_KIM,Jeremy Scharff-Kim,Jeremy Scharff-Kim,JEREMY-SCHARFF-KIM,stamp,8 Sets,23,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JESSE_PARKER,Jesse Parker,Jesse Parker,JESSE-PARKER,stamp,1 Sets,1,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JIMMY_BALLARD,Jimmy Ballard,Jimmy Ballard,JIMMY-BALLARD,stamp,8 Sets,25,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_JUN_HASEBE,Jun Hasebe,Jun Hasebe,JUN-HASEBE,stamp,7 Sets,23,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_KEVIN_NGUYEN,Kevin Nguyen,Kevin Nguyen,KEVIN-NGUYEN,stamp,7 Sets,22,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_MICHAEL_GONZALEZ,Michael Gonzalez,Michael Gonzalez,MICHAEL-GONZALEZ,stamp,6 Sets,24,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_MICHAEL_PRAMAWAT,Michael Pramawat,Michael Pramawat,MICHAEL-PRAMAWAT,stamp,13 Sets,29,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_MISKA_SAARI,Miska Saari,Miska Saari,MISKA-SAARI,stamp,7 Sets,23,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_MYCHAEL_BRYAN,Mychael Bryan,Mychael Bryan,MYCHAEL-BRYAN,stamp,11 Sets,23,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_PAUL_ATANASSOV,Paul Atanassov,Paul Atanassov,PAUL-ATANASSOV,stamp,7 Sets,17,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_REED_WEICHLER,Reed Weichler,Reed Weichler,REED-WEICHLER,stamp,7 Sets,23,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_ROSS_CAWTHORN,Ross Cawthorn,Ross Cawthorn,ROSS-CAWTHORN,stamp,4 Sets,17,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_SAKUYA_OTA,Sakuya Ota,Sakuya Ota,SAKUYA-OTA,stamp,1 Sets,1,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_SHAO_TONG_YEN,Shao Tong Yen,Shao Tong Yen,SHAO-TONG-YEN,stamp,1 Sets,1,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_SHUTO_ITAGAKI,Shuto Itagaki,Shuto Itagaki,SHUTO-ITAGAKI,stamp,3 Sets,4,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_STEPHEN_SILVESTRO,Stephen Silvestro,Stephen Silvestro,STEPHEN-SILVESTRO,stamp,8 Sets,24,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_TAKASHI_YONEDA,Takashi Yoneda,Takashi Yoneda,TAKASHI-YONEDA,stamp,7 Sets,26,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_TOM_ROOS,Tom Roos,Tom Roos,TOM-ROOS,stamp,8 Sets,21,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_TRISTAN_ROBINSON,Tristan Robinson,Tristan Robinson,TRISTAN-ROBINSON,stamp,6 Sets,16,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_TSUBASA_NAKAMURA,Tsubasa Nakamura,Tsubasa Nakamura,TSUBASA-NAKAMURA,stamp,7 Sets,28,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_TSUGUYOSHI_YAMATO,Tsuguyoshi Yamato,Tsuguyoshi Yamato,TSUGUYOSHI-YAMATO,stamp,5 Sets,21,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_YUKA_FURUSAWA,Yuka Furusawa,Yuka Furusawa,YUKA-FURUSAWA,stamp,9 Sets,21,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_YUTA_KOMATSUDA,Yuta Komatsuda,Yuta Komatsuda,YUTA-KOMATSUDA,stamp,7 Sets,27,GLOBAL,A,APPROVED
DECK_PLAYER,DECK_PLAYER_ZACHARY_BOKHARI,Zachary Bokhari,Zachary Bokhari,ZACHARY-BOKHARI,stamp,3 Sets,5,GLOBAL,A,APPROVED
EVENT,EVENT_CHICAGO_2009,Chicago 2009,Chicago 2009,CHICAGO-2009,stamp,PL2,1,GLOBAL,A,APPROVED
EVENT,EVENT_CITIES,City Championships,Campeonato Municipal,CITY-CHAMPIONSHIPS,stamp,"DP1,DP6,EX14,EX3,EX5,EX9",8,GLOBAL,A,APPROVED
EVENT,EVENT_COMIC_CON,Comic-Con,Comic-Con,COMIC-CON,stamp,"DP3,EX11,EX9,HGSS2,PL1",7,GLOBAL,A,APPROVED
EVENT,EVENT_DISTRIBUTOR_MEETING,Distributor Meeting,Encontro de Distribuidores,DISTRIBUTOR-MEETING,stamp,DP1,2,GLOBAL,A,APPROVED
EVENT,EVENT_GAMES_EXPO,Games Expo,Games Expo,GAMES-EXPO,stamp,EX11,1,GLOBAL,A,APPROVED
EVENT,EVENT_GEN_CON,Gen Con,Gen Con,GEN-CON,stamp,"EX3,EX9",2,GLOBAL,A,APPROVED
EVENT,EVENT_GYM_CHALLENGE,Gym Challenge,Desafio de Ginásio,GYM-CHALLENGE,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_INTERNATIONALS_EUROPE,International Championships — Europe,Campeonato Internacional — Europa,INTERNATIONAL-CHAMPIONSHIP-EUROPE,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_INTERNATIONALS_NORTH_AMERICA,International Championships — North America,Campeonato Internacional — América do Norte,INTERNATIONAL-CHAMPIONSHIP-NORTH-AMERICA,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_NATIONALS,National Championships,Campeonato Nacional,NATIONAL-CHAMPIONSHIPS,stamp,"DP1,DP6,EX14,EX3,EX5,EX9",11,GLOBAL,A,APPROVED
EVENT,EVENT_NINTENDO_WORLD,Nintendo World,Nintendo World,NINTENDO-WORLD,stamp,EX9,1,GLOBAL,A,APPROVED
EVENT,EVENT_ORIGINS,Origins Game Fair,Origins Game Fair,ORIGINS,stamp,EX11,1,GLOBAL,A,APPROVED
EVENT,EVENT_ORIGINS_2008,Origins Game Fair 2008,Origins Game Fair 2008,ORIGINS-2008,stamp,DP3,2,GLOBAL,A,APPROVED
EVENT,EVENT_POKEMON_DAY,Pokémon Day,Dia Pokémon,POKEMON-DAY,stamp,"DP1,EX10,EX8,POP6,POP9,SV4.5",9,GLOBAL,A,APPROVED
EVENT,EVENT_POKEMON_ROCKS_AMERICA,Pokémon Rocks America,Pokémon Rocks America,POKEMON-ROCKS-AMERICA,stamp,EX10,1,GLOBAL,A,APPROVED
EVENT,EVENT_POKETOUR_99,PokéTour '99,PokéTour '99,POKETOUR-99,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_POP_TOURNAMENT,POP Tournament,Torneio POP,POP-TOURNAMENT,stamp,NP,3,GLOBAL,A,APPROVED
EVENT,EVENT_PRERELEASE,Prerelease,Pré-lançamento,PRE-RELEASE,stamp,33 Sets,49,GLOBAL,A,APPROVED
EVENT,EVENT_REGIONALS,Regional Championships,Campeonato Regional,REGIONAL-CHAMPIONSHIPS,stamp,"EX12,SV3,SWSH2,SWSH9",5,GLOBAL,A,APPROVED
EVENT,EVENT_STADIUM_CHALLENGE,Stadium Challenge,Stadium Challenge,STADIUM-CHALLENGE,stamp,"EX8,NP",2,GLOBAL,A,APPROVED
EVENT,EVENT_STATES,State Championships,Campeonato Estadual,STATE-CHAMPIONSHIPS,stamp,"DP1,DP6,EX14,EX3,EX5,EX9",9,GLOBAL,A,APPROVED
EVENT,EVENT_WIZARD_WORLD_CHICAGO,Wizard World Chicago,Wizard World Chicago,WIZARD-WORLD-CHICAGO,stamp,EX9,1,GLOBAL,A,APPROVED
EVENT,EVENT_WIZARD_WORLD_PHILADELPHIA,Wizard World Philadelphia,Wizard World Philadelphia,WIZARD-WORLD-PHILADELPHIA,stamp,EX9,1,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2004,World Championships 2004,Campeonato Mundial 2004,WORLDS-2004,stamp,NP,7,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2005,World Championships 2005,Campeonato Mundial 2005,WORLDS-2005,stamp,NP,7,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2007,World Championships 2007,Campeonato Mundial 2007,WORLDS-2007,stamp,DPP,7,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2008,World Championships 2008,Campeonato Mundial 2008,WORLDS-2008,stamp,DPP,7,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2009,World Championships 2009,Campeonato Mundial 2009,WORLDS-2009,stamp,DPP,7,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2010,World Championships 2010,Campeonato Mundial 2010,WORLDS-2010,stamp,"HGSSP,NP",14,GLOBAL,A,APPROVED
EVENT,EVENT_WORLDS_2023,World Championships 2023,Campeonato Mundial 2023,WORLDS-2023,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_WORLDS_2024,World Championships 2024,Campeonato Mundial 2024,WORLDS-2024,stamp,(somente legado B),0,GLOBAL,B,APPROVED
EVENT,EVENT_WORLDS_2025,World Championships 2025,Campeonato Mundial 2025,WORLDS-2025,stamp,(somente legado B),0,GLOBAL,B,APPROVED
PLACEMENT,PLACEMENT_FINALIST,Finalist,Finalista,FINALIST,stamp,"DPP,HGSSP,NP",7,GLOBAL,A,APPROVED
PLACEMENT,PLACEMENT_QUARTER_FINALIST,Quarter-Finalist,Quartas de Final,QUARTER-FINALIST,stamp,"DPP,HGSSP,NP",7,GLOBAL,A,APPROVED
PLACEMENT,PLACEMENT_SEMI_FINALIST,Semi-Finalist,Semifinalista,SEMI-FINALIST,stamp,"DPP,HGSSP,NP",7,GLOBAL,A,APPROVED
PLACEMENT,PLACEMENT_TOP_16,Top 16,Top 16,TOP-SIXTEEN,stamp,"DPP,HGSSP,NP",7,GLOBAL,A,APPROVED
PLACEMENT,PLACEMENT_TOP_32,Top 32,Top 32,TOP-THIRTY-TWO,stamp,"DPP,HGSSP,NP",7,GLOBAL,A,APPROVED
PLACEMENT,PLACEMENT_TOP_8,Top 8,Top 8,TOP-EIGHT,stamp,(somente legado B),0,GLOBAL,B,APPROVED
PLACEMENT,PLACEMENT_WINNER,Winner,Campeão,WINNER,stamp,"BOG,EX1,EX2,EX3,NP",19,GLOBAL,A,APPROVED
PROGRAM,PROGRAM_LEAGUE,League Program,Programa de Liga,LEAGUE,stamp,(somente legado B),0,GLOBAL,B,APPROVED
PROGRAM,PROGRAM_LEAGUE_POKE_BALL,League — Poké Ball Tier,Liga — Nível Poké Ball,POKE-BALL-LEAGUE,stamp,SWSH2,1,GLOBAL,A,APPROVED
PROGRAM,PROGRAM_LEAGUE_ULTRA_BALL,League — Ultra Ball Tier,Liga — Nível Ultra Ball,ULTRA-BALL-LEAGUE,stamp,(somente legado B),0,GLOBAL,B,APPROVED
PROGRAM,PROGRAM_PLAYER_REWARDS,Player Rewards Program,Programa Player Rewards,PLAYER-REWARDS-PROGRAM,stamp,"HGSS4,SWSH3",4,GLOBAL,A+B,APPROVED
PROGRAM,PROGRAM_PLAYER_REWARDS,Player Rewards Program,Programa Player Rewards,PLAYER-REWARD,stamp,(somente legado B),0,GLOBAL,A+B,APPROVED
PROGRAM,PROGRAM_PROFESSOR,Professor Program,Programa Professor,PROFESSOR-PROGRAM,stamp,EX9,1,GLOBAL,A,APPROVED
ROLE,ROLE_STAFF,Staff,Equipe,STAFF,stamp,"COL1,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DPP,EX14,EX5,EX9,HGSS1,HGSS2,HGSS3,HGSSP,NP,PL1,PL2,PL3,PL4,SM3,SWSH2,SWSH4",39,GLOBAL,A,APPROVED
